name,price,rating,review
"Joy e-bike Wolf Eco Booking for Ex-Showroom Price (with Portable Charger, Black and Red)","₹91,350",3.9,12 Ratings & 5 Reviews
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Havelock Blue)","₹1,46,355",3.8,238 Ratings & 29 Reviews
"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Glistening Blue)","₹1,45,651",4.4,28 Ratings & 7 Reviews
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Red Black)","₹1,05,000",4.3,594 Ratings & 92 Reviews
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Comet Grey)","₹99,999",4,40 Ratings & 12 Reviews
"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹74,899",4,40 Ratings & 12 Reviews
"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Red Black)","₹1,26,153",4.3,594 Ratings & 92 Reviews
"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Cyan)","₹1,45,900",4,40 Ratings & 12 Reviews
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Himalayan White)","₹1,22,900",3.9,12 Ratings & 5 Reviews
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹99,950",3.8,238 Ratings & 29 Reviews
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Cyan)","₹99,950",3.9,12 Ratings & 5 Reviews
"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, White)","₹1,45,900",4,40 Ratings & 12 Reviews
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, White)","₹99,950",4.2,49 Ratings & 5 Reviews
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Brooklyn Black)","₹1,05,000",3.8,238 Ratings & 29 Reviews
"Bounce Infinity E1 Limited Edition Booking for Ex-Showroom Price (With Charger, Sporty Red)","₹1,14,208",4.2,5 Ratings & 1 Reviews
"Joy e-bike Gen Next Nanu Eco Booking for Ex-Showroom Price (with Portable Charger, White)","₹88,200",4.2,5 Ratings & 1 Reviews
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Bounce Yellow)","₹99,999",4.2,217 Ratings & 39 Reviews
"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Galactic Grey)","₹1,04,900",3.9,12 Ratings & 5 Reviews
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Shiny Silver)","₹1,05,000",4.2,49 Ratings & 5 Reviews
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹1,32,990",4,40 Ratings & 12 Reviews
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹99,950",3.9,12 Ratings & 5 Reviews
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Yellow Techno)","₹1,05,000",3.9,12 Ratings & 5 Reviews
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Foliage Green)","₹1,05,000",4.2,49 Ratings & 5 Reviews
